Question,Category,Level,Model,Metrics,Exp_A,Exp_B,Exp_C
1,1,Easy,Textbooks,Accuracy,5,5,4
1,1,Easy,Textbooks,Relevancy,5,5,5
1,1,Easy,Textbooks,Completeness,4,5,4
1,1,Easy,Textbooks,Clarity,5,5,5
1,1,Easy,Journals,Accuracy,3,4,3
1,1,Easy,Journals,Relevancy,4,5,5
1,1,Easy,Journals,Completeness,3,4,3
1,1,Easy,Journals,Clarity,4,5,4
1,1,Easy,Guidelines,Accuracy,4,4,5
1,1,Easy,Guidelines,Relevancy,3,3,4
1,1,Easy,Guidelines,Completeness,3,3,4
1,1,Easy,Guidelines,Clarity,4,4,5
2,1,Easy,Textbooks,Accuracy,3,4,3
2,1,Easy,Textbooks,Relevancy,2,3,2
2,1,Easy,Textbooks,Completeness,2,3,2
2,1,Easy,Textbooks,Clarity,4,5,4
2,1,Easy,Journals,Accuracy,2,3,2
2,1,Easy,Journals,Relevancy,3,3,2
2,1,Easy,Journals,Completeness,3,3,2
2,1,Easy,Journals,Clarity,3,4,3
2,1,Easy,Guidelines,Accuracy,5,5,5
2,1,Easy,Guidelines,Relevancy,5,5,5
2,1,Easy,Guidelines,Completeness,4,5,4
2,1,Easy,Guidelines,Clarity,5,5,5
3,1,Easy,Textbooks,Accuracy,5,5,5
3,1,Easy,Textbooks,Relevancy,5,5,5
3,1,Easy,Textbooks,Completeness,4,4,5
3,1,Easy,Textbooks,Clarity,5,5,5
3,1,Easy,Journals,Accuracy,4,5,4
3,1,Easy,Journals,Relevancy,4,5,4
3,1,Easy,Journals,Completeness,4,5,4
3,1,Easy,Journals,Clarity,4,5,4
3,1,Easy,Guidelines,Accuracy,5,5,4
3,1,Easy,Guidelines,Relevancy,5,5,5
3,1,Easy,Guidelines,Completeness,4,4,5
3,1,Easy,Guidelines,Clarity,5,5,5
4,1,Moderate,Textbooks,Accuracy,4,5,5
4,1,Moderate,Textbooks,Relevancy,5,5,5
4,1,Moderate,Textbooks,Completeness,4,4,5
4,1,Moderate,Textbooks,Clarity,5,5,5
4,1,Moderate,Journals,Accuracy,4,5,5
4,1,Moderate,Journals,Relevancy,4,5,4
4,1,Moderate,Journals,Completeness,3,4,3
4,1,Moderate,Journals,Clarity,3,4,4
4,1,Moderate,Guidelines,Accuracy,3,4,4
4,1,Moderate,Guidelines,Relevancy,4,4,4
4,1,Moderate,Guidelines,Completeness,4,4,3
4,1,Moderate,Guidelines,Clarity,3,4,4
5,1,Moderate,Textbooks,Accuracy,5,5,5
5,1,Moderate,Textbooks,Relevancy,5,5,5
5,1,Moderate,Textbooks,Completeness,5,5,5
5,1,Moderate,Textbooks,Clarity,4,5,5
5,1,Moderate,Journals,Accuracy,4,5,5
5,1,Moderate,Journals,Relevancy,4,4,5
5,1,Moderate,Journals,Completeness,3,4,4
5,1,Moderate,Journals,Clarity,3,3,4
5,1,Moderate,Guidelines,Accuracy,4,4,5
5,1,Moderate,Guidelines,Relevancy,4,5,4
5,1,Moderate,Guidelines,Completeness,4,4,3
5,1,Moderate,Guidelines,Clarity,5,5,5
6,1,Moderate,Textbooks,Accuracy,4,5,5
6,1,Moderate,Textbooks,Relevancy,4,5,5
6,1,Moderate,Textbooks,Completeness,5,5,5
6,1,Moderate,Textbooks,Clarity,4,5,5
6,1,Moderate,Journals,Accuracy,4,5,5
6,1,Moderate,Journals,Relevancy,4,5,4
6,1,Moderate,Journals,Completeness,3,3,2
6,1,Moderate,Journals,Clarity,5,5,4
6,1,Moderate,Guidelines,Accuracy,2,3,3
6,1,Moderate,Guidelines,Relevancy,3,4,3
6,1,Moderate,Guidelines,Completeness,2,2,2
6,1,Moderate,Guidelines,Clarity,4,5,4
7,1,Moderate,Textbooks,Accuracy,4,5,5
7,1,Moderate,Textbooks,Relevancy,5,5,5
7,1,Moderate,Textbooks,Completeness,5,4,5
7,1,Moderate,Textbooks,Clarity,5,5,5
7,1,Moderate,Journals,Accuracy,4,5,5
7,1,Moderate,Journals,Relevancy,5,5,5
7,1,Moderate,Journals,Completeness,5,5,5
7,1,Moderate,Journals,Clarity,4,4,5
7,1,Moderate,Guidelines,Accuracy,4,5,5
7,1,Moderate,Guidelines,Relevancy,5,5,5
7,1,Moderate,Guidelines,Completeness,3,3,3
7,1,Moderate,Guidelines,Clarity,5,5,5
8,1,Moderate,Textbooks,Accuracy,5,5,5
8,1,Moderate,Textbooks,Relevancy,5,5,5
8,1,Moderate,Textbooks,Completeness,5,5,5
8,1,Moderate,Textbooks,Clarity,4,5,5
8,1,Moderate,Journals,Accuracy,2,2,3
8,1,Moderate,Journals,Relevancy,3,3,3
8,1,Moderate,Journals,Completeness,3,3,3
8,1,Moderate,Journals,Clarity,3,3,3
8,1,Moderate,Guidelines,Accuracy,4,4,4
8,1,Moderate,Guidelines,Relevancy,4,4,4
8,1,Moderate,Guidelines,Completeness,3,3,3
8,1,Moderate,Guidelines,Clarity,4,4,4
9,1,Moderate,Textbooks,Accuracy,5,5,5
9,1,Moderate,Textbooks,Relevancy,5,5,5
9,1,Moderate,Textbooks,Completeness,5,4,4
9,1,Moderate,Textbooks,Clarity,5,5,5
9,1,Moderate,Journals,Accuracy,4,5,5
9,1,Moderate,Journals,Relevancy,5,5,5
9,1,Moderate,Journals,Completeness,5,5,5
9,1,Moderate,Journals,Clarity,4,5,5
9,1,Moderate,Guidelines,Accuracy,4,4,5
9,1,Moderate,Guidelines,Relevancy,5,5,5
9,1,Moderate,Guidelines,Completeness,5,5,5
9,1,Moderate,Guidelines,Clarity,4,5,5
10,1,Hard,Textbooks,Accuracy,5,5,5
10,1,Hard,Textbooks,Relevancy,5,4,5
10,1,Hard,Textbooks,Completeness,5,4,5
10,1,Hard,Textbooks,Clarity,4,5,5
10,1,Hard,Journals,Accuracy,4,5,5
10,1,Hard,Journals,Relevancy,4,5,5
10,1,Hard,Journals,Completeness,5,4,4
10,1,Hard,Journals,Clarity,4,4,5
10,1,Hard,Guidelines,Accuracy,5,5,5
10,1,Hard,Guidelines,Relevancy,5,5,5
10,1,Hard,Guidelines,Completeness,4,5,4
10,1,Hard,Guidelines,Clarity,5,5,4
11,1,Hard,Textbooks,Accuracy,5,5,5
11,1,Hard,Textbooks,Relevancy,5,5,5
11,1,Hard,Textbooks,Completeness,5,5,5
11,1,Hard,Textbooks,Clarity,4,5,5
11,1,Hard,Journals,Accuracy,4,5,5
11,1,Hard,Journals,Relevancy,4,5,5
11,1,Hard,Journals,Completeness,4,4,4
11,1,Hard,Journals,Clarity,3,3,4
11,1,Hard,Guidelines,Accuracy,4,4,5
11,1,Hard,Guidelines,Relevancy,4,4,4
11,1,Hard,Guidelines,Completeness,4,3,4
11,1,Hard,Guidelines,Clarity,5,5,5
12,1,Hard,Textbooks,Accuracy,4,4,5
12,1,Hard,Textbooks,Relevancy,4,5,5
12,1,Hard,Textbooks,Completeness,4,4,5
12,1,Hard,Textbooks,Clarity,4,5,5
12,1,Hard,Journals,Accuracy,5,5,5
12,1,Hard,Journals,Relevancy,5,5,5
12,1,Hard,Journals,Completeness,5,5,5
12,1,Hard,Journals,Clarity,5,5,5
12,1,Hard,Guidelines,Accuracy,4,4,4
12,1,Hard,Guidelines,Relevancy,4,4,3
12,1,Hard,Guidelines,Completeness,4,3,3
12,1,Hard,Guidelines,Clarity,4,4,4
13,1,Hard,Textbooks,Accuracy,2,3,3
13,1,Hard,Textbooks,Relevancy,4,5,5
13,1,Hard,Textbooks,Completeness,3,3,3
13,1,Hard,Textbooks,Clarity,4,5,5
13,1,Hard,Journals,Accuracy,4,5,5
13,1,Hard,Journals,Relevancy,4,5,5
13,1,Hard,Journals,Completeness,5,5,5
13,1,Hard,Journals,Clarity,4,4,5
13,1,Hard,Guidelines,Accuracy,5,5,5
13,1,Hard,Guidelines,Relevancy,5,5,5
13,1,Hard,Guidelines,Completeness,5,4,4
13,1,Hard,Guidelines,Clarity,5,5,5
14,1,Hard,Textbooks,Accuracy,4,5,5
14,1,Hard,Textbooks,Relevancy,5,5,5
14,1,Hard,Textbooks,Completeness,4,4,5
14,1,Hard,Textbooks,Clarity,4,5,5
14,1,Hard,Journals,Accuracy,3,3,4
14,1,Hard,Journals,Relevancy,4,4,5
14,1,Hard,Journals,Completeness,4,4,4
14,1,Hard,Journals,Clarity,3,4,4
14,1,Hard,Guidelines,Accuracy,5,5,5
14,1,Hard,Guidelines,Relevancy,5,5,5
14,1,Hard,Guidelines,Completeness,5,5,5
14,1,Hard,Guidelines,Clarity,5,5,5
15,1,Hard,Textbooks,Accuracy,5,5,5
15,1,Hard,Textbooks,Relevancy,5,5,5
15,1,Hard,Textbooks,Completeness,5,5,5
15,1,Hard,Textbooks,Clarity,5,5,5
15,1,Hard,Journals,Accuracy,3,4,4
15,1,Hard,Journals,Relevancy,3,4,4
15,1,Hard,Journals,Completeness,3,4,3
15,1,Hard,Journals,Clarity,3,3,3
15,1,Hard,Guidelines,Accuracy,4,5,5
15,1,Hard,Guidelines,Relevancy,4,5,5
15,1,Hard,Guidelines,Completeness,4,4,4
15,1,Hard,Guidelines,Clarity,5,5,5
16,2,Easy,Textbooks,Accuracy,4,4,5
16,2,Easy,Textbooks,Relevancy,4,5,5
16,2,Easy,Textbooks,Completeness,3,4,4
16,2,Easy,Textbooks,Clarity,4,5,5
16,2,Easy,Journals,Accuracy,4,3,4
16,2,Easy,Journals,Relevancy,4,5,4
16,2,Easy,Journals,Completeness,4,4,3
16,2,Easy,Journals,Clarity,4,4,4
16,2,Easy,Guidelines,Accuracy,4,5,5
16,2,Easy,Guidelines,Relevancy,4,5,5
16,2,Easy,Guidelines,Completeness,5,5,5
16,2,Easy,Guidelines,Clarity,5,5,5
17,2,Easy,Textbooks,Accuracy,5,5,5
17,2,Easy,Textbooks,Relevancy,4,4,3
17,2,Easy,Textbooks,Completeness,4,5,4
17,2,Easy,Textbooks,Clarity,5,5,4
17,2,Easy,Journals,Accuracy,4,3,4
17,2,Easy,Journals,Relevancy,4,3,4
17,2,Easy,Journals,Completeness,3,4,4
17,2,Easy,Journals,Clarity,4,4,5
17,2,Easy,Guidelines,Accuracy,4,4,5
17,2,Easy,Guidelines,Relevancy,4,4,5
17,2,Easy,Guidelines,Completeness,4,4,5
17,2,Easy,Guidelines,Clarity,4,4,5
18,2,Easy,Textbooks,Accuracy,5,5,5
18,2,Easy,Textbooks,Relevancy,5,5,5
18,2,Easy,Textbooks,Completeness,4,4,3
18,2,Easy,Textbooks,Clarity,5,5,5
18,2,Easy,Journals,Accuracy,5,5,5
18,2,Easy,Journals,Relevancy,4,5,5
18,2,Easy,Journals,Completeness,5,5,5
18,2,Easy,Journals,Clarity,4,5,5
18,2,Easy,Guidelines,Accuracy,4,5,5
18,2,Easy,Guidelines,Relevancy,3,4,4
18,2,Easy,Guidelines,Completeness,4,4,4
18,2,Easy,Guidelines,Clarity,4,4,4
19,2,Moderate,Textbooks,Accuracy,4,3,4
19,2,Moderate,Textbooks,Relevancy,5,4,5
19,2,Moderate,Textbooks,Completeness,3,3,3
19,2,Moderate,Textbooks,Clarity,4,5,5
19,2,Moderate,Journals,Accuracy,4,5,5
19,2,Moderate,Journals,Relevancy,4,5,5
19,2,Moderate,Journals,Completeness,4,5,4
19,2,Moderate,Journals,Clarity,4,5,4
19,2,Moderate,Guidelines,Accuracy,4,4,5
19,2,Moderate,Guidelines,Relevancy,4,5,5
19,2,Moderate,Guidelines,Completeness,4,4,5
19,2,Moderate,Guidelines,Clarity,3,4,3
20,2,Moderate,Textbooks,Accuracy,2,3,3
20,2,Moderate,Textbooks,Relevancy,2,3,2
20,2,Moderate,Textbooks,Completeness,3,3,2
20,2,Moderate,Textbooks,Clarity,3,4,3
20,2,Moderate,Journals,Accuracy,5,5,5
20,2,Moderate,Journals,Relevancy,5,5,5
20,2,Moderate,Journals,Completeness,4,4,4
20,2,Moderate,Journals,Clarity,5,5,5
20,2,Moderate,Guidelines,Accuracy,4,5,5
20,2,Moderate,Guidelines,Relevancy,4,5,5
20,2,Moderate,Guidelines,Completeness,5,5,5
20,2,Moderate,Guidelines,Clarity,4,5,5
21,2,Moderate,Textbooks,Accuracy,4,5,4
21,2,Moderate,Textbooks,Relevancy,4,4,4
21,2,Moderate,Textbooks,Completeness,4,4,4
21,2,Moderate,Textbooks,Clarity,4,5,5
21,2,Moderate,Journals,Accuracy,4,5,5
21,2,Moderate,Journals,Relevancy,5,5,5
21,2,Moderate,Journals,Completeness,5,5,5
21,2,Moderate,Journals,Clarity,4,5,5
21,2,Moderate,Guidelines,Accuracy,5,5,5
21,2,Moderate,Guidelines,Relevancy,5,5,5
21,2,Moderate,Guidelines,Completeness,4,4,4
21,2,Moderate,Guidelines,Clarity,5,5,5
22,2,Moderate,Textbooks,Accuracy,1,2,2
22,2,Moderate,Textbooks,Relevancy,3,4,3
22,2,Moderate,Textbooks,Completeness,2,3,2
22,2,Moderate,Textbooks,Clarity,3,4,3
22,2,Moderate,Journals,Accuracy,2,2,3
22,2,Moderate,Journals,Relevancy,5,4,5
22,2,Moderate,Journals,Completeness,4,4,5
22,2,Moderate,Journals,Clarity,4,4,5
22,2,Moderate,Guidelines,Accuracy,1,1,1
22,2,Moderate,Guidelines,Relevancy,3,3,2
22,2,Moderate,Guidelines,Completeness,3,3,3
22,2,Moderate,Guidelines,Clarity,4,4,3
23,2,Moderate,Textbooks,Accuracy,4,4,5
23,2,Moderate,Textbooks,Relevancy,5,5,5
23,2,Moderate,Textbooks,Completeness,4,4,4
23,2,Moderate,Textbooks,Clarity,5,5,5
23,2,Moderate,Journals,Accuracy,5,5,5
23,2,Moderate,Journals,Relevancy,5,5,5
23,2,Moderate,Journals,Completeness,5,5,5
23,2,Moderate,Journals,Clarity,4,5,5
23,2,Moderate,Guidelines,Accuracy,3,3,4
23,2,Moderate,Guidelines,Relevancy,3,3,3
23,2,Moderate,Guidelines,Completeness,3,2,2
23,2,Moderate,Guidelines,Clarity,4,4,4
24,2,Moderate,Textbooks,Accuracy,4,5,5
24,2,Moderate,Textbooks,Relevancy,5,5,5
24,2,Moderate,Textbooks,Completeness,4,5,4
24,2,Moderate,Textbooks,Clarity,4,5,5
24,2,Moderate,Journals,Accuracy,1,1,1
24,2,Moderate,Journals,Relevancy,2,2,3
24,2,Moderate,Journals,Completeness,3,2,3
24,2,Moderate,Journals,Clarity,3,3,3
24,2,Moderate,Guidelines,Accuracy,3,3,4
24,2,Moderate,Guidelines,Relevancy,4,5,5
24,2,Moderate,Guidelines,Completeness,4,4,4
24,2,Moderate,Guidelines,Clarity,4,4,5
25,2,Hard,Textbooks,Accuracy,3,3,4
25,2,Hard,Textbooks,Relevancy,3,4,4
25,2,Hard,Textbooks,Completeness,2,3,3
25,2,Hard,Textbooks,Clarity,4,5,4
25,2,Hard,Journals,Accuracy,2,2,3
25,2,Hard,Journals,Relevancy,2,2,3
25,2,Hard,Journals,Completeness,2,2,3
25,2,Hard,Journals,Clarity,4,4,5
25,2,Hard,Guidelines,Accuracy,2,2,3
25,2,Hard,Guidelines,Relevancy,2,2,3
25,2,Hard,Guidelines,Completeness,2,2,3
25,2,Hard,Guidelines,Clarity,4,4,5
26,2,Hard,Textbooks,Accuracy,4,4,5
26,2,Hard,Textbooks,Relevancy,5,5,5
26,2,Hard,Textbooks,Completeness,4,4,5
26,2,Hard,Textbooks,Clarity,4,4,5
26,2,Hard,Journals,Accuracy,4,5,5
26,2,Hard,Journals,Relevancy,5,5,5
26,2,Hard,Journals,Completeness,3,3,3
26,2,Hard,Journals,Clarity,5,5,5
26,2,Hard,Guidelines,Accuracy,4,5,5
26,2,Hard,Guidelines,Relevancy,5,5,5
26,2,Hard,Guidelines,Completeness,5,5,5
26,2,Hard,Guidelines,Clarity,4,5,5
27,2,Hard,Textbooks,Accuracy,2,2,3
27,2,Hard,Textbooks,Relevancy,4,4,4
27,2,Hard,Textbooks,Completeness,3,3,3
27,2,Hard,Textbooks,Clarity,4,5,5
27,2,Hard,Journals,Accuracy,2,2,3
27,2,Hard,Journals,Relevancy,2,2,3
27,2,Hard,Journals,Completeness,3,2,3
27,2,Hard,Journals,Clarity,5,5,5
27,2,Hard,Guidelines,Accuracy,4,4,5
27,2,Hard,Guidelines,Relevancy,5,5,5
27,2,Hard,Guidelines,Completeness,5,4,5
27,2,Hard,Guidelines,Clarity,4,5,5
28,2,Hard,Textbooks,Accuracy,4,4,5
28,2,Hard,Textbooks,Relevancy,5,5,5
28,2,Hard,Textbooks,Completeness,4,5,5
28,2,Hard,Textbooks,Clarity,5,5,5
28,2,Hard,Journals,Accuracy,4,5,5
28,2,Hard,Journals,Relevancy,4,5,4
28,2,Hard,Journals,Completeness,4,4,4
28,2,Hard,Journals,Clarity,4,4,4
28,2,Hard,Guidelines,Accuracy,2,2,3
28,2,Hard,Guidelines,Relevancy,2,1,2
28,2,Hard,Guidelines,Completeness,2,1,1
28,2,Hard,Guidelines,Clarity,4,4,3
29,2,Hard,Textbooks,Accuracy,4,5,5
29,2,Hard,Textbooks,Relevancy,5,5,5
29,2,Hard,Textbooks,Completeness,4,4,5
29,2,Hard,Textbooks,Clarity,5,5,5
29,2,Hard,Journals,Accuracy,2,2,3
29,2,Hard,Journals,Relevancy,3,4,4
29,2,Hard,Journals,Completeness,3,3,4
29,2,Hard,Journals,Clarity,4,5,5
29,2,Hard,Guidelines,Accuracy,3,3,4
29,2,Hard,Guidelines,Relevancy,4,5,5
29,2,Hard,Guidelines,Completeness,4,5,5
29,2,Hard,Guidelines,Clarity,4,5,5
30,2,Hard,Textbooks,Accuracy,2,3,3
30,2,Hard,Textbooks,Relevancy,5,5,4
30,2,Hard,Textbooks,Completeness,3,3,2
30,2,Hard,Textbooks,Clarity,5,5,5
30,2,Hard,Journals,Accuracy,4,5,5
30,2,Hard,Journals,Relevancy,4,5,5
30,2,Hard,Journals,Completeness,4,5,4
30,2,Hard,Journals,Clarity,4,5,5
30,2,Hard,Guidelines,Accuracy,3,2,3
30,2,Hard,Guidelines,Relevancy,5,4,4
30,2,Hard,Guidelines,Completeness,4,3,3
30,2,Hard,Guidelines,Clarity,4,5,4
31,3,Easy,Textbooks,Accuracy,4,5,5
31,3,Easy,Textbooks,Relevancy,4,5,5
31,3,Easy,Textbooks,Completeness,4,4,5
31,3,Easy,Textbooks,Clarity,5,5,5
31,3,Easy,Journals,Accuracy,5,5,5
31,3,Easy,Journals,Relevancy,5,5,5
31,3,Easy,Journals,Completeness,5,5,5
31,3,Easy,Journals,Clarity,5,5,5
31,3,Easy,Guidelines,Accuracy,4,5,5
31,3,Easy,Guidelines,Relevancy,4,5,5
31,3,Easy,Guidelines,Completeness,3,3,4
31,3,Easy,Guidelines,Clarity,5,5,5
32,3,Easy,Textbooks,Accuracy,4,5,5
32,3,Easy,Textbooks,Relevancy,5,4,5
32,3,Easy,Textbooks,Completeness,1,1,1
32,3,Easy,Textbooks,Clarity,5,5,5
32,3,Easy,Journals,Accuracy,4,5,5
32,3,Easy,Journals,Relevancy,5,5,5
32,3,Easy,Journals,Completeness,4,5,5
32,3,Easy,Journals,Clarity,5,5,5
32,3,Easy,Guidelines,Accuracy,5,5,5
32,3,Easy,Guidelines,Relevancy,5,5,5
32,3,Easy,Guidelines,Completeness,5,5,5
32,3,Easy,Guidelines,Clarity,5,5,5
33,3,Easy,Textbooks,Accuracy,4,5,5
33,3,Easy,Textbooks,Relevancy,5,5,5
33,3,Easy,Textbooks,Completeness,4,4,5
33,3,Easy,Textbooks,Clarity,5,5,5
33,3,Easy,Journals,Accuracy,4,5,5
33,3,Easy,Journals,Relevancy,5,5,5
33,3,Easy,Journals,Completeness,3,4,4
33,3,Easy,Journals,Clarity,5,5,5
33,3,Easy,Guidelines,Accuracy,5,5,5
33,3,Easy,Guidelines,Relevancy,5,5,5
33,3,Easy,Guidelines,Completeness,5,5,5
33,3,Easy,Guidelines,Clarity,4,5,5
34,3,Moderate,Textbooks,Accuracy,5,5,5
34,3,Moderate,Textbooks,Relevancy,5,5,5
34,3,Moderate,Textbooks,Completeness,2,2,2
34,3,Moderate,Textbooks,Clarity,5,5,5
34,3,Moderate,Journals,Accuracy,1,1,1
34,3,Moderate,Journals,Relevancy,5,5,4
34,3,Moderate,Journals,Completeness,3,3,2
34,3,Moderate,Journals,Clarity,5,5,4
34,3,Moderate,Guidelines,Accuracy,5,5,5
34,3,Moderate,Guidelines,Relevancy,5,5,5
34,3,Moderate,Guidelines,Completeness,4,5,5
34,3,Moderate,Guidelines,Clarity,5,5,5
35,3,Moderate,Textbooks,Accuracy,2,3,3
35,3,Moderate,Textbooks,Relevancy,5,4,4
35,3,Moderate,Textbooks,Completeness,1,2,2
35,3,Moderate,Textbooks,Clarity,5,5,5
35,3,Moderate,Journals,Accuracy,5,5,5
35,3,Moderate,Journals,Relevancy,5,5,5
35,3,Moderate,Journals,Completeness,5,5,5
35,3,Moderate,Journals,Clarity,4,5,5
35,3,Moderate,Guidelines,Accuracy,4,5,5
35,3,Moderate,Guidelines,Relevancy,5,5,5
35,3,Moderate,Guidelines,Completeness,4,4,5
36,3,Moderate,Guidelines,Clarity,4,5,5
36,3,Moderate,Textbooks,Accuracy,5,5,5
36,3,Moderate,Textbooks,Relevancy,5,5,5
36,3,Moderate,Textbooks,Completeness,5,5,5
36,3,Moderate,Textbooks,Clarity,5,5,5
36,3,Moderate,Journals,Accuracy,2,1,2
36,3,Moderate,Journals,Relevancy,5,4,5
36,3,Moderate,Journals,Completeness,4,3,4
36,3,Moderate,Journals,Clarity,4,4,4
36,3,Moderate,Guidelines,Accuracy,3,2,3
36,3,Moderate,Guidelines,Relevancy,4,3,4
36,3,Moderate,Guidelines,Completeness,4,3,3
36,3,Moderate,Guidelines,Clarity,4,4,4
37,3,Moderate,Textbooks,Accuracy,5,5,5
37,3,Moderate,Textbooks,Relevancy,5,5,5
37,3,Moderate,Textbooks,Completeness,5,5,5
37,3,Moderate,Textbooks,Clarity,5,5,5
37,3,Moderate,Journals,Accuracy,4,4,5
37,3,Moderate,Journals,Relevancy,4,4,4
37,3,Moderate,Journals,Completeness,4,4,4
37,3,Moderate,Journals,Clarity,4,5,5
37,3,Moderate,Guidelines,Accuracy,4,4,5
37,3,Moderate,Guidelines,Relevancy,5,5,5
37,3,Moderate,Guidelines,Completeness,4,4,4
37,3,Moderate,Guidelines,Clarity,4,5,5
38,3,Moderate,Textbooks,Accuracy,4,3,4
38,3,Moderate,Textbooks,Relevancy,4,4,5
38,3,Moderate,Textbooks,Completeness,4,5,5
38,3,Moderate,Textbooks,Clarity,4,5,5
38,3,Moderate,Journals,Accuracy,3,4,3
38,3,Moderate,Journals,Relevancy,4,5,5
38,3,Moderate,Journals,Completeness,4,5,4
38,3,Moderate,Journals,Clarity,5,5,5
38,3,Moderate,Guidelines,Accuracy,4,4,5
38,3,Moderate,Guidelines,Relevancy,4,4,5
38,3,Moderate,Guidelines,Completeness,4,4,4
38,3,Moderate,Guidelines,Clarity,4,5,5
39,3,Moderate,Textbooks,Accuracy,4,5,5
39,3,Moderate,Textbooks,Relevancy,5,5,5
39,3,Moderate,Textbooks,Completeness,4,4,5
39,3,Moderate,Textbooks,Clarity,5,5,5
39,3,Moderate,Journals,Accuracy,4,3,4
39,3,Moderate,Journals,Relevancy,3,4,4
39,3,Moderate,Journals,Completeness,4,4,4
39,3,Moderate,Journals,Clarity,3,4,4
39,3,Moderate,Guidelines,Accuracy,5,5,5
39,3,Moderate,Guidelines,Relevancy,5,5,5
39,3,Moderate,Guidelines,Completeness,5,5,5
39,3,Moderate,Guidelines,Clarity,4,5,5
40,3,Hard,Textbooks,Accuracy,2,2,3
40,3,Hard,Textbooks,Relevancy,5,5,5
40,3,Hard,Textbooks,Completeness,3,4,3
40,3,Hard,Textbooks,Clarity,5,5,4
40,3,Hard,Journals,Accuracy,5,5,5
40,3,Hard,Journals,Relevancy,5,5,5
40,3,Hard,Journals,Completeness,4,5,5
40,3,Hard,Journals,Clarity,5,5,5
40,3,Hard,Guidelines,Accuracy,1,1,1
40,3,Hard,Guidelines,Relevancy,5,5,4
40,3,Hard,Guidelines,Completeness,2,2,1
40,3,Hard,Guidelines,Clarity,5,5,4
41,3,Hard,Textbooks,Accuracy,4,5,5
41,3,Hard,Textbooks,Relevancy,4,5,5
41,3,Hard,Textbooks,Completeness,4,5,5
41,3,Hard,Textbooks,Clarity,4,5,5
41,3,Hard,Journals,Accuracy,1,1,2
41,3,Hard,Journals,Relevancy,3,4,4
41,3,Hard,Journals,Completeness,4,4,4
41,3,Hard,Journals,Clarity,3,4,4
41,3,Hard,Guidelines,Accuracy,4,4,4
41,3,Hard,Guidelines,Relevancy,5,5,5
41,3,Hard,Guidelines,Completeness,4,4,3
41,3,Hard,Guidelines,Clarity,5,5,5
42,3,Hard,Textbooks,Accuracy,3,4,4
42,3,Hard,Textbooks,Relevancy,4,5,4
42,3,Hard,Textbooks,Completeness,3,4,3
42,3,Hard,Textbooks,Clarity,5,5,5
42,3,Hard,Journals,Accuracy,3,4,4
42,3,Hard,Journals,Relevancy,3,4,3
42,3,Hard,Journals,Completeness,3,4,3
42,3,Hard,Journals,Clarity,3,4,3
42,3,Hard,Guidelines,Accuracy,4,5,5
42,3,Hard,Guidelines,Relevancy,5,5,5
42,3,Hard,Guidelines,Completeness,4,5,5
42,3,Hard,Guidelines,Clarity,5,5,5
43,3,Hard,Textbooks,Accuracy,1,1,2
43,3,Hard,Textbooks,Relevancy,3,2,2
43,3,Hard,Textbooks,Completeness,2,1,1
43,3,Hard,Textbooks,Clarity,4,4,3
43,3,Hard,Journals,Accuracy,1,1,2
43,3,Hard,Journals,Relevancy,3,2,3
43,3,Hard,Journals,Completeness,2,1,2
43,3,Hard,Journals,Clarity,3,4,3
43,3,Hard,Guidelines,Accuracy,1,1,1
43,3,Hard,Guidelines,Relevancy,2,2,1
43,3,Hard,Guidelines,Completeness,2,1,1
43,3,Hard,Guidelines,Clarity,4,3,3
44,3,Hard,Textbooks,Accuracy,3,3,4
44,3,Hard,Textbooks,Relevancy,4,4,5
44,3,Hard,Textbooks,Completeness,4,3,4
44,3,Hard,Textbooks,Clarity,4,5,5
44,3,Hard,Journals,Accuracy,1,1,2
44,3,Hard,Journals,Relevancy,4,3,4
44,3,Hard,Journals,Completeness,4,3,4
44,3,Hard,Journals,Clarity,4,4,4
44,3,Hard,Guidelines,Accuracy,3,4,4
44,3,Hard,Guidelines,Relevancy,4,5,5
44,3,Hard,Guidelines,Completeness,3,4,4
44,3,Hard,Guidelines,Clarity,4,5,5
45,3,Hard,Textbooks,Accuracy,4,5,5
45,3,Hard,Textbooks,Relevancy,5,5,5
45,3,Hard,Textbooks,Completeness,4,5,5
45,3,Hard,Textbooks,Clarity,5,5,5
45,3,Hard,Journals,Accuracy,3,2,3
45,3,Hard,Journals,Relevancy,5,4,5
45,3,Hard,Journals,Completeness,5,4,5
45,3,Hard,Journals,Clarity,4,4,4
45,3,Hard,Guidelines,Accuracy,5,5,5
45,3,Hard,Guidelines,Relevancy,5,5,5
45,3,Hard,Guidelines,Completeness,3,3,4
45,3,Hard,Guidelines,Clarity,5,5,5
